2021-06-18 22:40:20,658 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc', 'token0Symbol': 'USDC', 'token0Address': '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', 'token0Reserves': 98754767524400, 'token0Decimals': 6, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 45147082766050189318059, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:20,939 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11', 'token0Symbol': 'DAI', 'token0Address': '0x6B175474E89094C44Da98b954EedeAC495271d0F', 'token0Reserves': 38637428932417980463241774, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 17649520072327148732317, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:21,241 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xBb2b8038a1640196FbE3e38816F3e67Cba72D940', 'token0Symbol': 'WBTC', 'token0Address': '0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599', 'token0Reserves': 191228162954, 'token0Decimals': 8, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 31129647754773914369171, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:21,533 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x43AE24960e5534731Fc831386c07755A2dc33D47', 'token0Symbol': 'SNX', 'token0Address': '0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F', 'token0Reserves': 196399279669509301392420, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 729171459658137953826, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:21,815 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974', 'token0Symbol': 'LINK', 'token0Address': '0x514910771AF9Ca656af840dff83E8264EcF986CA', 'token0Reserves': 1143144159735237514048444, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 10969130765144299741186, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:22,099 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xC2aDdA861F89bBB333c90c492cB837741916A225', 'token0Symbol': 'UNKNOWN', 'token0Address': '0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2', 'token0Reserves': 6550350793072160726332, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 7915764734918651034362, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:22,460 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xc5be99A02C6857f9Eac67BbCE58DF5572498F40c', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 2812008724995736302375, 'token0Decimals': 18, 'token1Symbol': 'AMPL', 'token1Address': '0xD46bA6D942050d489DBd938a2C909A5d5039A161', 'token1Reserves': 7141048450146672, 'token1Decimals': 9, 'blockNumber': 12660614}
2021-06-18 22:40:22,753 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xc6F348dd3B91a56D117ec0071C1e9b83C0996De4', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 178385063100546769405, 'token0Decimals': 18, 'token1Symbol': 'ZRX', 'token1Address': '0xE41d2489571d322189246DaFA5ebDe1F4699F498', 'token1Reserves': 486959650753868835444831, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:23,052 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xf80758aB42C3B07dA84053Fd88804bCB6BAA4b5c', 'token0Symbol': 'sUSD', 'token0Address': '0x57Ab1ec28D129707052df4dF418D58a2D46d5f51', 'token0Reserves': 253872004351871155766276, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 116698784666447947803, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:23,346 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x343FD171caf4F0287aE6b87D75A8964Dc44516Ab', 'token0Symbol': 'PNK', 'token0Address': '0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d', 'token0Reserves': 20965169612831547209370516, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 1174998106775322001595, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:23,661 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x11b1f53204d03E5529F09EB3091939e4Fd8c9CF3', 'token0Symbol': 'MANA', 'token0Address': '0x0F5D2fB29fb7d3CFeE444a200298f468908cC942', 'token0Reserves': 2017727325197380789723530, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 584937185186487820234, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:23,973 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x2b6A25f7C54F43C71C743e627F5663232586C39F', 'token0Symbol': 'JRT', 'token0Address': '0x8A9C67fee641579dEbA04928c4BC45F66e26343A', 'token0Reserves': 3330374826474557325697114, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 67682798280806406286, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:24,271 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x6d57a53A45343187905aaD6AD8eD532D105697c1', 'token0Symbol': 'RLC', 'token0Address': '0x607F4C5BB672230e8672085532f7e901544a7375', 'token0Reserves': 79929602171409, 'token0Decimals': 9, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 119356749287120513525, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:24,578 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x8Bd1661Da98EBDd3BD080F0bE4e6d9bE8cE9858c', 'token0Symbol': 'REN', 'token0Address': '0x408e41876cCCDC0F92210600ef50372656052a38', 'token0Reserves': 3554305664135379741533929, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 631770016134594364360, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:24,864 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0xb4d0d9df2738abE81b87b66c80851292492D1404', 'token0Symbol': 'TUSD', 'token0Address': '0x0000000000085d4780B73119b644AE5ecd22b376', 'token0Reserves': 1403431860559230341010768, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 638814866159480501947, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:25,148 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x4a7d4BE868e0b811ea804fAF0D3A325c3A29a9ad', 'token0Symbol': 'REQ', 'token0Address': '0x8f8221aFbB33998d8584A2B05749bA73c37a938a', 'token0Reserves': 13897943888658966101033853, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 484644564655304409754, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:25,448 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x819f3450dA6f110BA6Ea52195B3beaFa246062dE', 'token0Symbol': 'MATIC', 'token0Address': '0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0', 'token0Reserves': 2649708727262549379900138, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 1639384227282982521304, 'token1Decimals': 18, 'blockNumber': 12660614}
2021-06-18 22:40:25,760 INFO Block: 12660614 Exchange: uniswap Update: {'pairAddress': '0x88D97d199b9ED37C29D846d00D443De980832a22', 'token0Symbol': 'UMA', 'token0Address': '0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828', 'token0Reserves': 8420426727353394587952, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 41252607404554571015, 'token1Decimals': 18, 'blockNumber': 12660614}
