2021-06-18 22:29:59,632 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc', 'token0Symbol': 'USDC', 'token0Address': '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', 'token0Reserves': 99133340908335, 'token0Decimals': 6, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 44973751441696991054000, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:29:59,934 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11', 'token0Symbol': 'DAI', 'token0Address': '0x6B175474E89094C44Da98b954EedeAC495271d0F', 'token0Reserves': 38714524847024472576886091, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 17614176209381548662657, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:00,225 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xBb2b8038a1640196FbE3e38816F3e67Cba72D940', 'token0Symbol': 'WBTC', 'token0Address': '0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599', 'token0Reserves': 191107110105, 'token0Decimals': 8, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 31149306726157653586412, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:00,479 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x43AE24960e5534731Fc831386c07755A2dc33D47', 'token0Symbol': 'SNX', 'token0Address': '0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F', 'token0Reserves': 195660756283083364680826, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 731915467477304679102, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:00,761 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974', 'token0Symbol': 'LINK', 'token0Address': '0x514910771AF9Ca656af840dff83E8264EcF986CA', 'token0Reserves': 1142631752899098827807357, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 10976293846301949213712, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:01,031 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xC2aDdA861F89bBB333c90c492cB837741916A225', 'token0Symbol': 'UNKNOWN', 'token0Address': '0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2', 'token0Reserves': 6550600793072160726332, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 7915461725209144420715, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:01,311 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xc5be99A02C6857f9Eac67BbCE58DF5572498F40c', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 2812336526234972329410, 'token0Decimals': 18, 'token1Symbol': 'AMPL', 'token1Address': '0xD46bA6D942050d489DBd938a2C909A5d5039A161', 'token1Reserves': 7140213597222557, 'token1Decimals': 9, 'blockNumber': 12660569}
2021-06-18 22:30:01,598 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xc6F348dd3B91a56D117ec0071C1e9b83C0996De4', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 177959781348991330140, 'token0Decimals': 18, 'token1Symbol': 'ZRX', 'token1Address': '0xE41d2489571d322189246DaFA5ebDe1F4699F498', 'token1Reserves': 488081793982415822144830, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:01,891 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xf80758aB42C3B07dA84053Fd88804bCB6BAA4b5c', 'token0Symbol': 'sUSD', 'token0Address': '0x57Ab1ec28D129707052df4dF418D58a2D46d5f51', 'token0Reserves': 253760460843346521077856, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 116749927152804879995, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:02,200 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x343FD171caf4F0287aE6b87D75A8964Dc44516Ab', 'token0Symbol': 'PNK', 'token0Address': '0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d', 'token0Reserves': 20965169612831547209370516, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 1174998106775322001595, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:02,480 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x11b1f53204d03E5529F09EB3091939e4Fd8c9CF3', 'token0Symbol': 'MANA', 'token0Address': '0x0F5D2fB29fb7d3CFeE444a200298f468908cC942', 'token0Reserves': 2017727325197380789723530, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 584937185186487820234, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:02,768 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x2b6A25f7C54F43C71C743e627F5663232586C39F', 'token0Symbol': 'JRT', 'token0Address': '0x8A9C67fee641579dEbA04928c4BC45F66e26343A', 'token0Reserves': 3330374826474557325697114, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 67682798280806406286, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:03,026 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x6d57a53A45343187905aaD6AD8eD532D105697c1', 'token0Symbol': 'RLC', 'token0Address': '0x607F4C5BB672230e8672085532f7e901544a7375', 'token0Reserves': 79929602171409, 'token0Decimals': 9, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 119356749287120513525, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:03,306 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x8Bd1661Da98EBDd3BD080F0bE4e6d9bE8cE9858c', 'token0Symbol': 'REN', 'token0Address': '0x408e41876cCCDC0F92210600ef50372656052a38', 'token0Reserves': 3553305664135379741533929, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 631947280565415419828, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:03,565 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xb4d0d9df2738abE81b87b66c80851292492D1404', 'token0Symbol': 'TUSD', 'token0Address': '0x0000000000085d4780B73119b644AE5ecd22b376', 'token0Reserves': 1403431860559230341010768, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 638814866159480501947, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:03,841 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x4a7d4BE868e0b811ea804fAF0D3A325c3A29a9ad', 'token0Symbol': 'REQ', 'token0Address': '0x8f8221aFbB33998d8584A2B05749bA73c37a938a', 'token0Reserves': 13897943888658966101033853, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 484644564655304409754, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:04,118 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x819f3450dA6f110BA6Ea52195B3beaFa246062dE', 'token0Symbol': 'MATIC', 'token0Address': '0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0', 'token0Reserves': 2643077179578833181958049, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 1643484906086132455907, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:04,396 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x88D97d199b9ED37C29D846d00D443De980832a22', 'token0Symbol': 'UMA', 'token0Address': '0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828', 'token0Reserves': 8420426727353394587952, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 41252607404554571015, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:04,688 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 60620493821963567935629, 'token0Decimals': 18, 'token1Symbol': 'USDT', 'token1Address': '0xdAC17F958D2ee523a2206206994597C13D831ec7', 'token1Reserves': 133432876237469, 'token1Decimals': 6, 'blockNumber': 12660569}
2021-06-18 22:30:04,947 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xce2Cc0513634CEf3a7C9C257E294EF5E3092f185', 'token0Symbol': 'OGN', 'token0Address': '0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26', 'token0Reserves': 2241570339217626910880649, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 809828064967826837727, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:05,233 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x755C1a8F71f4210CD7B60b9439451EfCbeBa33D1', 'token0Symbol': 'LPT', 'token0Address': '0x58b6A8A3302369DAEc383334672404Ee733aB239', 'token0Reserves': 5548055672280982556568, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 61282306625248865326, 'token1Decimals': 18, 'blockNumber': 12660570}
